,Left_id,Right_id,Score
727,9724,19929,99.25
728,9757,78423,98.4
729,9772,51576,98.82
730,9775,90160,87.89
731,9832,3533,85.7
732,9864,7792,87.77
733,9871,72708,94.49
734,9885,37964,99.19
735,9886,75605,100.0
736,9886,75606,100.0
737,9934,66948,83.31
738,9952,960,97.49
739,9957,73022,91.13
740,9962,37994,100.0
741,9973,21159,94.33
742,9979,2549,86.47
743,9987,6631,80.07
744,10002,60389,95.98
745,10002,60390,95.98
746,10008,69266,95.3
747,10009,2747,97.02
748,10054,39600,83.59
749,10105,11942,93.06
750,10105,13544,93.06
751,10120,53073,83.52
752,10131,79654,100.0
753,10142,1459,100.0
754,10142,1468,98.7
755,10202,60300,94.26
756,10230,83649,81.8
757,10237,80400,90.04
758,10241,78353,87.25
759,10254,40240,87.68
760,10254,44915,88.78
761,10254,48030,88.78
762,10414,15135,88.6
763,10415,82344,100.0
764,10415,84065,98.88
765,10439,1654,83.24
766,10452,19633,84.24
767,10473,61716,99.2
768,10473,61736,83.71
769,10478,89673,100.0
770,10483,39471,99.32
771,10483,41541,94.52
772,10484,86649,99.08
773,10521,13022,99.07
774,10578,52366,84.85
775,10627,1035,95.42
776,10627,1036,95.42
777,10628,39959,95.61
778,10632,79020,86.91
779,10667,14079,99.11
780,10667,14080,99.11
781,10679,48160,100.0
782,10680,26309,85.59
783,10680,26310,85.59
784,10723,57714,92.91
785,10729,85288,99.07
786,10776,86934,88.87
787,10776,86935,88.87
788,10790,77549,89.32
789,10800,5189,98.08
790,10826,77616,93.15
791,10831,76806,98.87
792,10859,14119,89.67
793,10881,78083,100.0
794,10920,69538,94.74
795,10923,81247,96.33
796,10923,81248,98.97
797,10938,77149,99.22
798,10938,77150,99.22
799,10992,19257,89.52
800,10992,19258,89.52
801,10998,20569,81.92
802,11015,5061,99.02
803,11021,15988,95.78
804,11055,77505,98.9
805,11092,89562,100.0
806,11092,90462,99.07
807,11094,70600,94.58
808,11096,616,87.23
809,11117,56318,81.11
810,11126,65110,96.54
811,11128,53477,99.1
812,11128,53478,99.1
813,11129,22047,85.44
814,11132,67206,99.12
815,11132,68101,99.12
816,11168,15190,81.24
817,11168,15191,81.24
818,11187,74717,98.78
819,11200,22922,91.01
820,11201,15359,99.22
821,11201,15369,95.6
822,11202,21822,97.45
823,11208,82221,94.95
824,11224,81279,100.0
825,11228,56783,93.87
826,11241,70232,99.05
827,11241,72732,99.05
828,11242,13393,99.2
829,11276,61966,99.4
830,11279,66626,100.0
831,11279,66627,100.0
832,11283,56204,95.78
833,11292,82279,99.08
834,11292,82280,99.08
835,11293,14005,84.14
836,11299,56696,95.76
837,11328,11561,82.2
838,11328,11562,82.2
839,11359,39410,83.46
840,11379,14320,98.6
841,11386,61499,90.47
842,11397,53730,87.96
843,11397,53731,87.96
844,11402,15459,93.66
845,11434,72263,95.72
846,11443,76986,99.17
847,11465,80020,90.16
848,11474,80531,98.75
849,11474,80532,97.91
850,11488,66112,94.08
851,11502,6477,93.09
852,11505,18085,92.43
853,11510,17995,85.74
854,11510,22844,81.07
855,11519,69572,99.08
856,11601,83354,82.87
857,11601,86636,82.87
858,11606,75399,99.42
859,11626,11119,90.36
860,11629,21651,92.78
861,11638,18451,97.12
862,11648,82497,93.22
863,11651,56523,100.0
864,11651,56524,100.0
865,11683,52128,93.65
866,11688,66657,94.54
867,11692,79566,84.8
868,11719,82484,100.0
869,11747,23104,92.84
870,11747,24530,80.76
871,11787,39331,85.57
872,11787,39332,91.85
873,11796,58425,98.96
874,11796,58426,98.96
875,11806,48273,99.43
876,11812,21083,100.0
877,11812,23057,95.98
878,11853,60383,80.24
879,11866,86740,81.58
880,11868,82948,100.0
881,11868,82949,100.0
882,11870,71377,95.61
883,11874,15917,100.0
884,11874,15918,100.0
885,11905,36292,93.93
886,11961,71207,97.18
887,11994,6022,99.19
888,11994,6036,99.19
889,12018,57865,83.06
890,12018,60293,83.06
891,12019,54112,100.0
892,12019,54216,100.0
893,12023,22650,100.0
894,12044,75292,100.0
895,12045,7703,92.3
896,12072,53863,85.9
897,12096,54697,85.75
898,12101,18714,98.51
899,12109,53786,99.14
900,12127,19015,90.46
901,12127,19016,90.46
902,12143,64501,98.96
903,12143,64502,98.96
904,12153,62446,81.92
905,12168,13982,100.0
906,12178,10297,97.11
907,12203,52232,91.53
908,12207,67434,99.14
909,12227,71433,88.87
910,12232,54805,98.14
911,12232,56115,86.61
912,12263,74486,99.57
913,12266,58758,83.65
914,12315,81004,99.12
915,12315,81005,99.12
916,12338,68025,82.38
917,12347,2408,98.98
918,12354,15112,98.95
919,12354,15113,98.95
920,12366,79410,94.02
921,12421,19976,99.11
922,12451,38904,99.02
923,12451,40647,99.02
924,12470,35121,86.46
925,12480,33913,99.0
926,12481,65949,82.89
927,12491,67449,99.0
928,12507,8123,90.76
929,12509,81100,86.48
930,12513,76589,82.38
931,12539,32573,95.64
932,12539,32574,95.64
933,12555,46365,89.42
934,12567,6613,99.05
935,12582,11620,96.1
936,12651,36562,98.95
937,12651,36563,98.95
938,12680,43259,99.26
939,12680,43260,99.26
940,12685,17722,99.11
941,12685,17723,99.11
942,12702,82271,89.22
943,12717,58532,99.14
944,12740,9176,94.49
945,12751,75862,82.88
946,12755,66192,98.02
947,12796,88837,88.28
948,12809,60580,84.42
949,12809,62777,89.82
950,12815,47318,81.24
951,12871,82239,98.91
952,12871,82240,98.91
953,12943,86267,85.28
954,12943,86268,85.28
955,12968,89785,88.41
956,12987,17011,83.79
957,13038,27075,85.32
958,13041,79358,97.72
959,13059,15220,93.81
960,13067,24594,93.46
961,13124,46932,97.84
962,13131,71197,93.6
963,13131,71801,99.02
964,13150,23117,96.94
965,13151,76151,94.41
966,13152,2577,93.92
967,13188,18417,80.76
968,13206,10943,99.09
969,13249,72531,94.51
970,13251,79613,90.23
971,13254,56257,96.16
972,13255,41482,81.48
973,13255,41483,81.48
974,13276,668,88.79
975,13287,5157,86.44
976,13334,74570,82.54
977,13351,70679,92.9
978,13372,36844,94.66
979,13388,28748,93.19
980,13490,77267,98.95
981,13513,13682,83.54
982,13519,2370,95.79
983,13519,20371,88.59
984,13557,760,99.05
985,13557,761,99.05
986,13558,87543,99.12
987,13558,87545,99.12
988,13566,61503,100.0
989,13598,84059,80.69
990,13628,46904,96.07
991,13676,53038,81.58
992,13676,55681,100.0
993,13682,71722,91.14
994,13695,82433,95.2
995,13695,83784,82.82
996,13719,39853,88.93
997,13740,37592,82.13
998,13757,39945,93.59
999,13775,56819,99.05
1000,13785,63114,99.05
1001,13785,63115,99.05
1002,13813,32055,93.78
1003,13820,87389,94.67
1004,13820,87390,94.67
1005,13832,58058,92.77
1006,13832,58293,93.64
1007,13861,85066,94.1
1008,13873,56914,85.35
1009,13879,6125,99.12
1010,13929,87292,91.07
1011,13968,18367,80.84
1012,13968,18368,80.84
1013,13978,29978,81.21
1014,13985,88461,87.04
1015,13994,75526,88.76
1016,13994,75527,88.76
1017,14008,37181,99.16
1018,14008,37399,99.16
1019,14013,3382,97.87
1020,14016,18138,98.92
1021,14016,18139,98.92
1022,14042,75412,90.35
1023,14044,59243,95.74
1024,14044,69046,96.82
1025,14050,68501,94.51
1026,14054,2978,98.91
1027,14059,25603,95.63
1028,14132,30465,91.95
1029,14162,33413,93.77
1030,14162,33533,90.21
1031,14177,16245,96.14
1032,14186,28926,98.76
1033,14186,29382,98.76
1034,14195,17866,97.06
1035,14220,82723,99.31
1036,14232,25459,100.0
1037,14235,23511,100.0
1038,14239,35250,92.13
1039,14251,50277,98.89
1040,14264,22567,93.64
1041,14289,5263,92.3
1042,14291,86246,93.44
1043,14319,64655,94.57
1044,14332,6289,91.2
1045,14332,6290,91.2
1046,14334,43505,94.2
1047,14347,1750,81.71
1048,14347,1751,81.71
1049,14373,18317,99.12
1050,14410,54696,86.64
1051,14413,78293,95.33
1052,14467,83769,94.89
1053,14467,83771,94.89
1054,14491,78506,88.64
1055,14500,24023,99.02
1056,14501,1966,99.36
1057,14501,4680,99.36
1058,14516,75729,96.24
1059,14516,75730,93.62
1060,14552,31013,99.11
1061,14557,9460,99.2
1062,14560,86955,80.34
1063,14561,13529,91.51
1064,14568,63182,81.86
1065,14599,72342,88.94
1066,14623,31289,98.93
1067,14623,31290,98.93
1068,14644,403,99.07
1069,14680,73840,98.75
1070,14680,76235,98.75
1071,14699,56251,88.5
1072,14712,58051,93.9
1073,14712,58052,93.9
1074,14720,38809,95.65
1075,14727,59239,100.0
1076,14727,60102,100.0
1077,14748,71695,81.48
1078,14748,74853,98.71
1079,14752,47312,98.96
1080,14752,47313,98.96
1081,14821,82510,93.0
1082,14834,47434,98.99
1083,14850,15496,94.31
1084,14864,39882,80.18
1085,14864,41805,80.18
1086,14882,5075,95.1
1087,14882,5076,95.1
1088,14978,32442,81.04
1089,14981,85855,90.88
1090,14987,74767,82.59
1091,14997,51176,90.16
1092,15000,458,100.0
1093,15000,459,100.0
1094,15031,321,91.94
1095,15046,49262,98.98
1096,15049,84902,92.03
1097,15061,5215,99.12
1098,15127,56483,80.18
1099,15127,61639,95.67
1100,15127,68227,93.02
1101,15127,68228,93.02
1102,15139,54795,93.67
1103,15188,69035,98.66
1104,15188,69036,98.66
1105,15189,61872,97.58
1106,15196,7190,80.48
1107,15207,10059,99.01
1108,15229,63289,95.07
1109,15232,84108,95.18
1110,15232,84109,95.18
1111,15254,78665,92.75
1112,15265,22094,98.81
1113,15302,80490,99.26
1114,15334,30340,85.14
1115,15335,41065,99.03
1116,15335,43335,99.03
1117,15343,53585,82.04
1118,15346,76754,100.0
1119,15358,73786,83.94
1120,15365,16393,89.59
1121,15371,23739,98.33
1122,15376,32893,95.04
1123,15391,68397,99.11
1124,15416,3205,85.17
1125,15423,74394,90.2
1126,15425,57489,99.03
1127,15448,47380,85.95
1128,15448,47381,85.95
1129,15455,38813,93.58
1130,15504,88398,98.98
1131,15506,61953,80.95
1132,15514,75722,99.18
1133,15523,5610,95.75
1134,15523,6011,96.89
1135,15540,76001,99.3
1136,15550,4124,99.14
1137,15591,88562,88.24
1138,15593,16236,84.66
1139,15619,37600,94.9
1140,15634,37090,99.25
1141,15657,18789,100.0
1142,15702,37335,100.0
1143,15702,37336,98.92
1144,15745,2131,80.75
1145,15749,79104,99.19
1146,15749,79105,99.19
1147,15762,48164,92.97
1148,15818,76548,92.52
1149,15837,1257,94.13
1150,15844,4131,85.98
1151,15844,4132,85.36
1152,15855,90306,99.02
1153,15866,53443,89.32
1154,15883,11,86.47
1155,15886,23483,94.58
